nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
BERSEE;59;59235;59071;2262;2115;206;10,93;3,15;50,4833;30841;502855;27;61
BERSILLIES;59;59600;59072;264;275;93;2,83;4;50,3167;40017;501916;120;154
BERSON;33;33390;33047;1766;1519;98;17,98;-0,583333;45,1167;-3512;450629;12;91
BERSTETT;67;67370;67034;2323;1914;129;17,88;7,66667;48,6833;73929;484045;147;281
BERSTHEIM;67;67170;67035;402;358;130;3,09;7,68333;48,8;74033;484732;171;222
BERT;3;3130;3024;267;273;11;24,15;3,7;46,3167;34226;461928;285;487
BERTANGLES;80;80260;80092;585;654;68;8,57;2,28333;49,9667;21759;495813;51;131
BERTAUCOURT-EPOURDON;2;2800;2074;610;515;81;7,46;3,38333;49,6167;32317;493736;57;121
BERTEAUCOURT-LES-DAMES;80;80850;80093;1165;1111;251;4,64;2,16667;50,05;20910;500248;24;122
BERTEAUCOURT-LES-THENNES;80;80110;80094;419;431;159;2,62;2,46667;49,8167;22752;494848;33;107
BERTHEAUVILLE;76;76450;76083;120;85;49;2,43;0,65;49,85;3541;494518;49;120
BERTHECOURT;60;60370;60065;1601;1357;229;6,97;2,23333;49,3667;21329;492102;45;128
BERTHEGON;86;86420;86023;279;297;26;10,61;0,266667;46,9;1548;465350;66;136
BERTHELANGE;25;25410;25055;267;210;65;4,07;5,78333;47,2;54646;471152;234;294
BERTHELMING;57;57930;57066;515;520;48;10,67;7;48,8167;70021;484858;231;282
BERTHEN;59;59270;59073;506;517;97;5,18;2,7;50,7833;24142;504658;32;162
BERTHENAY;37;37510;37025;742;675;102;7,24;0,516667;47,3667;3127;472147;37;45
BERTHENICOURT;2;2240;2075;214;199;69;3,07;3,38333;49,7667;32253;494618;58;108
BERTHENONVILLE;27;27630;27060;232;211;39;5,92;1,66667;49,1833;13941;491059;27;144
BERTHEZ;33;33124;33048;221;166;36;6,03;-0,133333;44,4833;-807;442906;29;115
BERTHOLENE;12;12310;12026;999;929;21;46,96;2,78333;44,3833;24643;442340;533;926
BERTHOUVILLE;27;27800;27061;290;259;38;7,53;0,633333;49,1833;3805;491046;145;178
BERTIGNAT;63;63480;63037;482;495;19;24,31;3,68333;45,6167;34051;453703;470;911
BERTIGNOLLES;10;10110;10041;67;65;10;6,19;4,51667;48,1333;43106;480745;202;317
BERTINCOURT;62;62124;62117;936;886;123;7,58;2,98333;50,0833;25849;500508;92;133
BERTONCOURT;8;8300;8062;135;147;19;6,83;4,4;49,5333;42403;493210;84;147
BERTRAMBOIS;54;54480;54064;357;403;19;18,46;6,98333;48,6;65910;483619;294;675
BERTRANCOURT;80;80560;80095;211;199;34;6,09;2,55;50,0833;23321;500538;125;157
BERTRANGE;57;57310;57067;2607;1991;382;6,82;6,18333;49,3;61113;491838;151;207
BERTRE;81;81700;81030;108;66;26;4,14;1,95;43,6;15624;433556;224;330
BERTREN;65;65370;65087;217;194;81;2,66;0,616667;43;3705;430001;442;894
BERTREVILLE;76;76450;76084;100;95;31;3,22;0,583333;49,7667;3448;494604;99;119
BERTREVILLE-SAINT-OUEN;76;76590;76085;342;285;51;6,67;1,05;49,8;10317;494825;85;122
BERTRIC-BUREE;24;24320;24038;421;393;25;16,73;0,35;45,3;2127;451818;68;181
BERTRICHAMPS;54;54120;54065;1077;1062;54;19,66;6,8;48,4333;64738;482545;266;422
BERTRICOURT;2;2190;2076;156;70;34;4,48;4;49,3833;40033;492342;57;76
BERTRIMONT;76;76890;76086;238;195;50;4,74;1;49,6667;10003;494001;114;162
BERTRIMOUTIER;88;88520;88054;358;336;96;3,72;7,05;48,2667;70315;481618;373;596
BERTRY;59;59980;59074;2210;2256;258;8,54;3,45;50,0833;32633;500515;119;152
BERU;89;89700;89039;75;77;14;5,17;3,9;47,8;35324;474803;168;326
BERUGES;86;86190;86024;1307;1103;40;32,63;0,2;46,5667;1226;463403;87;152
BERULLE;10;10160;10042;264;235;16;16,5;3,66667;48,1833;33950;481039;134;245
BERUS;72;72610;72034;432;367;64;6,73;0,05;48,3833;307;482229;141;196
