nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
LES AYVELLES;8;8000;8040;927;768;170;5,45;4,76667;49,7;44525;494317;143;210
LES BARILS;27;27130;27038;191;170;20;9,53;0,816667;48,7333;4910;484354;178;216
LES BAROCHES;54;54150;54048;373;348;28;13,28;5,88333;49,2333;55332;491348;192;253
LES BARTHES;82;82100;82012;488;412;59;8,2;1,16667;44,1;11012;440548;62;91
LES BATIES;70;70130;70053;79;74;10;7,56;5,9;47,5;55331;473026;211;253
LES BAUX-DE-BRETEUIL;27;27160;27043;664;579;19;34,22;0,816667;48,8833;4843;485247;160;199
LES BAUX-DE-PROVENCE;13;13520;13011;436;430;24;18,07;4,8;43,75;44743;434438;52;310
LES BAUX-SAINTE-CROIX;27;27180;27044;912;1014;53;17,03;1,1;48,9667;10543;485811;110;164
LES BESSONS;48;48200;48025;449;362;19;23,49;3,25;44,7667;31512;444621;972;1274
LES BILLANGES;87;87340;87016;307;288;13;22,61;1,53333;45,9667;13160;455750;280;451
LES BILLAUX;33;33500;33052;1097;816;175;6,26;-0,233333;44,95;-1413;445709;2;16
LES BIZOTS;71;71710;71038;457;435;21;21,69;4,38333;46,75;42325;464505;289;421
LES BONDONS;48;48400;48028;142;150;3;45,54;3,61667;44,3833;33709;442310;600;1569
LES BORDES;36;36100;36021;925;940;56;16,3;1,97583;46,9806;15833;465850;123;164
LES BORDES;45;45460;45042;1777;1445;73;24,02;2,4;47,8167;22408;474845;112;150
LES BORDES;71;71350;71043;99;86;43;2,28;5,02889;46,8964;50144;465347;172;179
LES BORDES;89;89500;89051;531;430;28;18,68;3,38333;48,1;32250;480551;103;234
LES BORDES-AUMONT;10;10800;10049;540;294;98;5,49;4,11667;48,1833;40719;481108;118;142
LES BORDES-SUR-ARIZE;9;9350;9061;517;514;40;12,68;1,36667;43,1;12213;430618;256;508
LES BORDES-SUR-LEZ;9;9800;9062;170;164;3;50,46;1,03333;42,9;10148;425352;548;2838
LES BOTTEREAUX;27;27250;27096;328;250;14;22,13;0,666667;48,8833;4005;485221;171;229
LES BOUCHOUX;39;39370;39068;314;280;14;21,71;5,81667;46,3;54909;461749;710;1230
LES BRESEUX;25;25120;25091;419;404;56;7,37;6,81667;47,2667;64837;471621;570;910
LES BREVIAIRES;78;78610;78108;1261;1025;64;19,55;1,81667;48,7;14850;484228;139;186
LES BROUZILS;85;85260;85038;2595;2032;62;41,25;-1,31667;46,8833;-11918;465313;37;78
LES BRULAIS;35;35330;35046;465;400;38;11,96;-2,03333;47,8833;-20235;475320;27;91
LES BRUNELS;11;11400;11054;224;162;18;11,97;2,05;43,4;20259;432413;349;631
LES CABANNES;81;81170;81045;352;320;57;6,16;1,94167;44,0667;15626;440401;152;310
LES CABANNES;9;9310;9070;351;360;403;0,87;1,68722;42,7856;14114;424708;519;581
LES CAMMAZES;81;81540;81055;298;211;38;7,68;2,08333;43,4167;20444;432441;410;653
LES CARS;87;87230;87029;598;583;35;16,72;1,08333;45,6833;10422;454050;319;544
LES CASSES;11;11320;11074;241;176;33;7,28;1,86667;43,4333;15204;432534;189;323
LES CENT-ACRES;76;76590;76168;36;39;7;5,08;1,15;49,7667;10829;494602;70;166
LES CERQUEUX;49;49360;49058;821;642;59;13,86;-0,640556;47,0003;-3826;470001;139;186
LES CERQUEUX-SOUS-PASSAVANT;49;49310;49059;496;444;21;23,24;-0,465833;47,1081;-2757;470629;84;127
LES CHALESMES;39;39150;39091;102;90;10;9,47;6,03806;46,6895;60217;464122;830;1113
LES CHAMBRES;50;50320;50114;121;92;28;4,18;-1,38333;48,7667;-12317;484559;68;133
LES CHAMPEAUX;61;61120;61086;136;117;14;9,65;0,133333;48,9;758;485335;142;267
LES CHAMPS-DE-LOSQUE;50;50620;50119;199;203;21;9,31;-1,23333;49,1833;-11353;491058;0;35
LES CHAMPS-GERAUX;22;22630;22035;1036;959;54;19,09;-1,96667;48,4167;-15814;482460;7;97
LES CHAPELLES;73;73700;73077;517;366;29;17,31;6,73333;45,5833;64347;453524;772;2964
LES CHAPELLES-BOURBON;77;77610;77091;421;330;65;6,42;2,83333;48,7333;25031;484428;108;118
LES CHARMONTOIS;51;51330;51132;127;151;8;14,65;5;48,9667;45956;485801;149;181
LES CHATELETS;28;28270;28090;98;92;9;9,92;1,01667;48,65;10043;483903;163;202
LES CHATELLIERS-CHATEAUMUR;85;85700;85063;705;683;38;18,13;-0,819722;46,8553;-4911;465119;134;240
LES CHATELLIERS-NOTRE-DAME;28;28120;28091;122;117;11;10,87;1,20417;48,3492;11215;482057;159;213
LES CHAVANNES-EN-MAURIENNE;73;73660;73083;234;206;49;4,69;6,28195;45,3914;61655;452329;407;1240
LES CHERES;69;69380;69055;1376;1069;252;5,46;4,73333;45,8833;44433;455323;176;212
LES CHERIS;50;50220;50132;266;235;45;5,87;-1,25;48,6333;-11537;483801;12;140
LES CHOUX;45;45290;45096;500;449;14;33,36;2,66667;47,8;24035;474751;123;177
LES CLAYES-SOUS-BOIS;78;78340;78165;17553;17049;2872;6,11;1,98333;48,8167;15901;484914;110;178
LES CLEFS;74;74230;74079;580;472;31;18,47;6,33333;45,8667;61941;455140;670;2338
LES CLERIMOIS;89;89190;89111;265;233;21;12,61;3,43333;48,2333;32628;481341;110;236
LES CLOUZEAUX;85;85430;85069;2529;2108;95;26,49;-1,51667;46,6167;-13031;463748;37;77
LES CLUSES;66;66480;66063;263;219;29;8,91;2,83834;42,4862;25018;422910;103;368
LES COMBES;25;25500;25160;725;598;41;17,58;6,55;47,0667;63240;470333;754;1029
LES CONTAMINES-MONTJOIE;74;74170;74085;1193;1126;27;43,55;6,73333;45,8333;64345;454918;999;3880
LES CORVEES-LES-YYS;28;28240;28109;314;214;23;13,51;1,15;48,35;10824;482144;196;257
LES COSTES;5;5500;5043;153;140;17;8,78;6,03333;44,75;60202;444446;1043;2776
LES COSTES-GOZON;12;12400;12078;176;174;8;20,33;2,8;44,0167;24808;440103;293;697
LES COTES-D'AREY;38;38138;38131;1937;1550;79;24,31;4,86695;45,4559;45201;452721;217;409
LES COTES-DE-CORPS;38;38970;38132;66;43;6;9,83;5,92306;44,8323;55523;444956;680;2015
LES CRESNAYS;50;50370;50152;254;271;25;9,78;-1,13333;48,7167;-10719;484308;32;131
LES CROUTES;10;10130;10118;98;113;13;7,11;3,86667;48;35151;475950;109;155
LES CROZETS;39;39260;39184;215;202;28;7,59;5,8;46,4667;54739;462737;720;1064
LES DAMPS;27;27340;27196;1264;952;266;4,74;1,18333;49,3;11020;491805;2;129
LES DESERTS;73;73230;73098;846;662;25;33,59;6,01667;45,6167;60040;453717;636;1845
LES DEUX-FAYS;39;39230;39196;122;115;18;6,77;5,48333;46,8833;52856;465256;200;226
LES DEUX-VILLES;8;8110;8138;265;219;32;8,14;5,23195;49,6506;51355;493902;188;297
LES ECHELLES;73;73360;73105;1219;1248;325;3,75;5,75;45,4333;54514;452612;364;459
LES ECORCES;25;25140;25213;641;502;67;9,51;6,8;47,2167;64756;471303;809;920
LES ECRENNES;77;77820;77165;612;639;33;18,54;2,85;48,5;25132;483012;96;130
LES EDUTS;17;17510;17149;66;64;8;8,05;-0,216667;45,9833;-1260;455929;105;156
LES EGLISES-D'ARGENTEUIL;17;17400;17150;539;507;37;14,29;-0,433333;45,9667;-2558;455825;20;82
LES EGLISOTTES-ET-CHALAURES;33;33230;33154;2167;1883;126;17,16;-0,0375;45,0998;-215;450559;10;103
LES EPARGES;55;55160;55172;75;58;7;9,52;5,58333;49,05;53538;490354;255;382
LES EPARRES;38;38300;38156;901;917;113;7,95;5,3;45,5333;51734;453201;319;501
LES EPESSES;85;85590;85082;2644;2108;84;31,29;-0,9;46,8833;-5402;465259;118;254
LES ESSARDS;16;16210;16130;204;196;22;8,98;0,116667;45,24;660;451424;30;145
LES ESSARDS;17;17250;17154;615;485;63;9,66;-0,766667;45,8;-4531;454731;23;62
LES ESSARDS;37;37130;37102;155;153;37;4,17;0,301944;47,3453;1807;472043;52;105
LES ESSARDS-TAIGNEVAUX;39;39120;39211;247;217;45;5,4;5,41667;46,9167;52503;465438;193;219
LES ESSARTS;27;27240;27225;386;282;25;15,18;0,985278;48,8817;5907;485254;152;182
LES ESSARTS;41;41800;41079;105;102;23;4,38;0,716667;47,7333;4304;474360;75;139
LES ESSARTS;85;85140;85084;5063;4188;90;56,24;-1,23333;46,7667;-11341;464625;55;116
LES ESSARTS-LE-ROI;78;78690;78220;6318;6127;327;19,32;1,9;48,7167;15340;484300;115;181
LES ESSARTS-LE-VICOMTE;51;51310;51236;148;118;13;11,29;3,55;48,6667;33319;483937;167;202
LES ESSARTS-LES-SEZANNE;51;51120;51235;283;233;16;16,79;3,65;48,75;33906;484510;189;218
LES ESSEINTES;33;33190;33158;269;218;52;5,1;-0,066667;44,6;-403;443635;11;94
LES ESTABLES;43;43150;43091;344;327;10;33,94;4,15;44,9083;40916;445416;1033;1725
LES ETANGS;57;57530;57200;424;301;70;6,05;6,38333;49,15;62247;490833;207;304
LES ETILLEUX;28;28330;28144;249;188;29;8,35;0,816667;48,2333;4921;481360;162;265
LES EYZIES-DE-TAYAC-SIREUIL;24;24620;24172;832;909;22;37,44;1,01695;44,9356;10101;445608;55;245
LES FARGES;24;24290;24175;323;262;39;8,14;1,2;45,1167;11113;450655;71;267
LES FERRES;6;6510;6061;97;59;7;13,7;7,1;43,85;70539;435049;180;1278
LES FESSEY;70;70310;70233;136;94;24;5,54;6,51778;47,82;63104;474912;345;486
LES FINS;25;25500;25240;2908;2590;114;25,39;6,63333;47,0833;63742;470451;750;1154
LES FONTENELLES;25;25210;25248;534;435;63;8,38;6,75;47,2;64438;471158;860;960
LES FORGES;56;56120;56059;400;476;7;52,53;-2,65;48,0167;-23849;480105;40;123
LES FORGES;79;79340;79124;126;111;11;10,61;-0,033333;46,55;-154;463225;154;197
LES FORGES;88;88390;88178;1996;1806;279;7,14;6,38333;48,1833;62333;481036;350;461
LES FOSSES;79;79360;79126;445;350;36;12,04;-0,366667;46,1667;-2116;461018;51;101
LES FOUGERETS;56;56200;56060;946;793;47;19,91;-2,21667;47,7333;-21245;474425;2;101
LES FOURGS;25;25300;25254;1211;1058;43;27,99;6,41667;46,8333;62419;465003;899;1242
LES GENETTES;61;61270;61187;176;128;26;6,54;0,566667;48,6667;3405;483953;219;283
LES GETS;74;74260;74134;1248;1352;41;29,98;6,66667;46,15;64013;460935;900;1820
LES GONDS;17;17100;17179;1511;1241;116;12,96;-0,616667;45,7167;-3660;454255;2;20
LES GOULLES;21;21520;21303;16;12;1;8,93;4,9;47,8833;45420;475255;270;372
LES GOURS;16;16140;16155;125;145;10;11,42;-0,066667;45,9667;-402;455742;77;119
LES GRANDES-ARMOISES;8;8390;8019;54;41;12;4,47;4,9;49,5333;45335;493151;192;300
LES GRANDES-CHAPELLES;10;10170;10166;377;329;17;22,1;4,01667;48,4667;40058;482800;98;157
LES GRANDES-LOGES;51;51400;51278;273;233;21;12,82;4,3;49,05;41736;490355;87;140
LES GRANDES-VENTES;76;76950;76321;1766;1813;71;24,76;1,23333;49,7833;11335;494710;70;203
LES GRANDS-CHEZEAUX;87;87160;87074;254;256;18;13,51;1,4;46,35;12336;462108;256;341
LES GRANGES;10;10210;10168;81;72;50;1,61;4,05362;48,0587;40313;480331;132;151
LES GRANGES-GONTARDES;26;26290;26145;542;563;74;7,26;4,76667;44,4167;44547;442457;60;175
LES GRANGES-LE-ROI;91;91410;91284;1067;873;84;12,68;2,01667;48,5;20109;483006;97;158
LES GRANGETTES;25;25160;25295;264;182;49;5,38;6,31667;46,8333;61840;464940;847;998
LES GRAS;25;25790;25296;745;654;49;14,99;6,55;47;63240;465941;782;1290
LES GRAULGES;24;24340;24203;68;61;16;4,13;0,45;45,5;2631;452943;98;185
LES GROSEILLERS;79;79220;79139;67;73;15;4,46;-0,4;46,5333;-2411;463131;99;178
LES GUERREAUX;71;71160;71229;254;244;12;20,01;4,28333;46,5333;35521;463204;242;347
LES HAIES;69;69420;69097;751;608;47;15,97;4,75;45,5;44451;453015;307;564
LES HALLES;69;69610;69098;462;331;149;3,09;4,43333;45,7167;42556;454308;468;682
LES HAUTES-RIVIERES;8;8800;8218;1647;1947;52;31,34;4,83333;49,8833;45031;495302;157;501
LES HAUTS-DE-CHEE;55;55000;55123;734;759;14;50,17;5,16695;48,8673;51001;485202;184;301
LES HAYES;41;41800;41100;201;169;12;15,71;0,776944;47,7153;4637;474255;93;156
LES HAYS;39;39120;39266;287;271;42;6,8;5,38333;46,9;52317;465416;197;219
LES HERBIERS;85;85500;85109;15229;13937;171;88,78;-1,01667;46,8667;-10049;465216;69;245
LES HERMAUX;48;48340;48073;115;111;6;17,59;3,11667;44,5167;30754;443058;589;1361
LES HERMITES;37;37110;37116;568;538;17;32,6;0,75;47,6667;4510;473952;96;167
LES HOGUES;27;27910;27338;652;569;55;11,81;1,4;49,4333;12347;492535;50;179
LES HOPITAUX-NEUFS;25;25370;25307;748;509;114;6,56;6,38333;46,7833;62222;464635;970;1290
LES HOPITAUX-VIEUX;25;25370;25308;355;257;24;14,21;6,36667;46,7833;62200;464722;959;1300
LES HOUCHES;74;74310;74143;3018;2708;70;43,07;6,8;45,8833;64755;455324;796;4280
LES IFFS;35;35630;35134;264;232;58;4,52;-1,86667;48,2833;-15200;481716;53;141
LES IFS;76;76630;76371;52;43;12;4,03;1,4;49,8833;12342;495306;135;186
LES ILHES;11;11380;11174;51;61;12;4,16;2,4;43,35;22241;432106;220;573
LES INFOURNAS;5;5500;5067;28;24;3;8,69;6,1;44,7167;60537;444254;1158;2442
LES ISLES-BARDEL;14;14690;14343;65;58;11;5,69;-0,333333;48,85;-2018;485043;54;194
LES ISLETTES;55;55120;55253;846;816;152;5,55;5;49,1;50012;490638;156;245
LES ISSARDS;9;9100;9145;252;189;66;3,81;1,73333;43,0833;14408;430442;270;383
LES ISTRES-ET-BURY;51;51190;51302;93;81;18;5,15;4,08333;48,9833;40525;485906;81;97
LES JUNIES;46;46150;46134;251;264;19;13,06;1,25;44,5333;11407;443218;100;296
LES LANDES-GENUSSON;85;85130;85119;2290;1991;73;31,33;-1,11667;46,9667;-10706;465756;53;121
LES LAUBIES;48;48700;48083;171;148;7;22,8;3,43333;44,6833;32546;444109;1010;1388
LES LECHES;24;24400;24234;321;298;14;21,58;0,383333;44,9833;2302;445923;64;167
LES LEVES-ET-THOUMEYRAGUES;33;33220;33242;548;543;35;15,58;0,174722;44,7931;1029;444735;30;126
LES LILAS;93;93260;93045;22228;20207;17641;1,26;2,43333;48,8833;22501;485248;75;131
LES LOGES;14;14240;14374;141;115;31;4,46;-0,806389;49,0431;-4823;490235;137;255
LES LOGES;52;52500;52290;131;129;12;10,79;5,5;47,7833;52928;474703;262;372
LES LOGES;76;76790;76390;1153;1036;77;14,86;0,283333;49,7;1659;494159;0;121
LES LOGES-EN-JOSAS;78;78350;78343;1548;1448;624;2,48;2,13333;48,7667;20830;484546;91;159
LES LOGES-MARCHIS;50;50600;50274;1022;871;51;19,78;-1,1;48,55;-10518;483231;69;208
LES LOGES-MARGUERON;10;10210;10202;231;145;7;31,21;4,11667;48,0833;40634;480513;132;194
LES LOGES-SAULCES;14;14700;14375;172;119;25;6,74;-0,3;48,8667;-1758;485156;105;241
LES LOGES-SUR-BRECEY;50;50370;50275;156;147;29;5,27;-1,16667;48,7667;-11033;484557;53;165
LES LUCS-SUR-BOULOGNE;85;85170;85129;3264;2702;61;53,15;-1,5;46,8333;-12937;465038;29;80
LES MAGES;30;30960;30152;1855;1513;146;12,69;4,15;44,2333;40957;441341;138;485
LES MAGNILS-REIGNIERS;85;85400;85131;1504;1395;83;17,96;0,779723;46,4789;-11313;462844;0;36
LES MAGNY;70;70110;70317;131;120;11;11,46;6,45;47,5333;62714;473135;256;387
LES MAILLYS;21;21130;21371;830;766;27;29,79;5,33333;47,1333;52024;470813;180;197
LES MARCHES;73;73800;73151;2448;2135;159;15,35;6;45,4833;60003;452957;244;1115
LES MARETS;77;77560;77275;153;135;28;5,38;3,31667;48,6667;31850;484015;136;170
LES MARS;23;23700;23123;202;219;15;12,9;2,48333;45,9833;22843;455853;513;657
LES MARTRES-D'ARTIERE;63;63430;63213;1982;1315;132;14,96;3,26139;45,835;31541;455006;294;369
LES MARTRES-DE-VEYRE;63;63730;63214;3928;3911;423;9,28;3,19;45,6842;31124;454103;323;500
LES MARTYS;11;11390;11221;271;198;14;19,18;2,31667;43,4;21821;432459;639;964
LES MATELLES;34;34270;34153;1677;1429;99;16,81;3,81667;43,7333;34832;434350;60;300
LES MATHES;17;17570;17225;1740;1457;50;34,38;-1,15;45,7167;-10854;454302;0;40
LES MAYONS;83;83340;83075;639;552;22;28,86;6,36667;43,3167;62129;431846;79;742
LES MAZURES;8;8500;8284;945;774;26;36,14;4,63333;49,8833;43735;495317;127;401
LES MEES;4;4190;4116;3630;2923;55;65,4;5,98333;44,0333;55835;440146;348;824
LES MEES;72;72260;72192;100;107;14;6,8;0,233333;48,3167;1354;481851;91;136
LES MENUS;61;61290;61274;197;148;16;11,81;0,933333;48,5167;5603;483127;198;229
LES MESNEUX;51;51370;51365;839;861;196;4,26;3,96667;49,2167;35740;491307;85;117
LES MESNULS;78;78490;78398;874;884;134;6,49;1,83333;48,75;15017;484523;93;184
LES METAIRIES;16;16200;16220;605;530;116;5,18;-0,166667;45,7;-956;454216;17;48
LES MOERES;59;59122;59404;808;666;41;19,46;2,55;51,0167;23302;510053;0;2
LES MOITIERS-D'ALLONNE;50;50270;50332;685;612;39;17,21;-1,78333;49,4;-14646;492406;0;127
LES MOITIERS-EN-BAUPTOIS;50;50360;50333;334;283;41;8,04;-1,43333;49,3667;-12612;492155;1;37
LES MOLIERES;91;91470;91411;1961;1652;279;7,02;2,06667;48,6667;20408;484020;100;177
LES MOLLETTES;73;73800;73159;737;547;134;5,47;6,06667;45,4667;60332;452749;255;529
LES MOLUNES;39;39310;39341;141;125;6;20,51;5,92362;46,345;55525;462042;750;1330
LES MONCEAUX;14;14100;14435;181;148;48;3,72;0,116667;49,1167;817;490650;104;176
LES MONTHAIRONS;55;55320;55347;381;387;31;12,22;5,41667;49,05;52439;490301;201;319
LES MONTILS;41;41120;41147;1794;1436;193;9,27;1,3;47,5;11749;472943;62;101
LES MONTS-VERTS;48;48200;48012;341;336;11;29,13;3,20528;44,8578;31219;445128;916;1164
LES MOUSSIERES;39;39310;39373;196;164;11;16,95;5,9;46,3333;55324;461933;880;1310
LES MOUTIERS-EN-AUGE;14;14620;14457;120;121;11;10,1;-0,016667;48,9;-24;485355;71;228
LES MOUTIERS-EN-CINGLAIS;14;14220;14458;419;350;62;6,75;-0,422778;49,0312;-2522;490152;15;186
LES MOUTIERS-EN-RETZ;44;44760;44106;1316;908;137;9,58;1,99834;47,0634;-20006;470348;0;39
LES MOUTIERS-HUBERT;14;14140;14459;49;50;6;8,13;0,266667;48,9667;1560;485836;102;213
LES MUJOULS;6;6910;6087;44;30;3;14,55;6,85;43,8833;65137;435301;518;1416
LES MUREAUX;78;78130;78440;30859;31722;2573;11,99;1,91667;49;15430;485935;18;53
LES NANS;39;39300;39381;90;83;11;8,05;5,96667;46,7833;55828;464727;635;904
LES NEYROLLES;1;1130;1274;637;617;67;9,5;5,63333;46,1333;53801;460830;510;1118
LES NOES;42;42370;42158;186;163;11;15,68;3,85195;46,0412;35107;460228;497;1122
LES NOES-PRES-TROYES;10;10420;10265;3173;3465;4346;0,73;4,03333;48,3;40228;481809;104;111
LES NOUILLERS;17;17380;17266;636;611;26;24,15;-0,666667;45,9333;-3949;455553;2;64
LES OLLIERES;74;74370;74204;839;737;72;11,64;6,18333;45,9667;61055;455843;489;794
LES OLLIERES-SUR-EYRIEUX;7;7360;7167;935;797;123;7,58;4,61667;44,8;43716;444820;157;600
LES OLMES;69;69490;69147;786;663;282;2,78;4,5;45,8833;43059;455260;319;399
LES OMERGUES;4;4200;4140;126;98;3;34,22;5,6;44,1667;53628;441018;789;1452
LES ORMES;86;86220;86183;1640;1432;67;24,22;0,6;46,9667;3622;465820;37;116
LES ORMES;89;89110;89281;288;218;33;8,55;3,26667;47,85;31559;475057;165;238
LES ORMES-SUR-VOULZIE;77;77134;77347;830;822;67;12,22;3,23333;48,4667;31334;482743;54;117
LES ORRES;5;5200;5098;507;458;6;74,79;6,55;44,5167;63303;443050;1198;2914
LES OUBEAUX;14;14230;14481;226;238;52;4,27;-1,06667;49,2833;-10402;491711;14;47
LES PAROCHES;55;55300;55401;396;358;38;10,24;5,5;48,9;53050;485430;212;339
LES PAVILLONS-SOUS-BOIS;93;93320;93057;21746;18411;7447;2,92;2,51667;48,9;23038;485421;50;64
LES PEINTURES;33;33230;33315;1587;1194;120;13,13;-0,1;45,0667;-552;450407;5;31
LES PENNES-MIRABEAU;13;13170;13071;19482;19022;578;33,66;5,31667;43,4083;51834;432436;56;287
LES PERQUES;50;50260;50396;161;161;33;4,85;-1,66667;49,45;-13929;492643;13;122
LES PETITES-ARMOISES;8;8390;8020;63;58;14;4,37;4,81667;49,5;44934;493018;162;223
LES PETITES-LOGES;51;51400;51428;465;416;95;4,87;4,225;49,1333;41340;490817;94;161
LES PIARDS;39;39150;39417;186;176;35;5,29;5,83333;46,4833;54943;462944;884;1030
LES PIEUX;50;50340;50402;3558;3474;233;15,25;-1,8;49,5167;-14828;493047;5;132
LES PILLES;26;26110;26238;254;226;43;5,84;5,2;44,3833;51126;442246;288;920
LES PINEAUX;85;85320;85175;587;447;33;17,44;-1,18333;46,5833;-11052;463543;18;84
LES PINS;16;16260;16261;446;400;21;21,06;0,366667;45,8333;2325;454910;72;137
LES PINTHIERES;28;28210;28299;182;132;45;4,01;1,56667;48,7;13407;484206;131;153
LES PLACES;27;27230;27459;75;55;38;1,93;0,414444;49,1523;2452;490908;140;173
LES PLAINS-ET-GRANDS-ESSARTS;25;25470;25458;211;179;20;10,35;6,89473;47,3037;65341;471813;626;933
LES PLANCHES-EN-MONTAGNE;39;39150;39424;150;128;11;13,48;6,01667;46,6667;60032;463916;570;1061
LES PLANCHES-PRES-ARBOIS;39;39600;39425;101;79;72;1,39;5,8;46,8833;54824;465243;320;571
LES PLANS;30;30340;30197;229;140;37;6,15;4,21667;44,15;41239;440832;147;263
LES PLANS;34;34700;34205;292;265;16;18,12;3,28333;43,75;31634;434512;186;845
LES PLANTIERS;30;30122;30198;243;228;7;30,83;3,73333;44,1167;34323;440659;331;1069
LES PONTETS;25;25240;25464;115;84;18;6,36;6,16667;46,7167;61018;464309;970;1237
LES PONTS-DE-CE;49;49130;49246;11696;11391;598;19,55;-0,516667;47,4167;-3131;472528;15;36
LES PORTES-EN-RE;17;17880;17286;651;661;76;8,51;0,501668;46,25;-12954;461500;0;15
LES POULIERES;88;88600;88356;252;194;84;2,98;6,8;48,2;64728;481152;451;663
LES PRADEAUX;63;63500;63287;302;299;54;5,54;3,3;45,5167;31744;453045;373;452
LES PREAUX;27;27500;27476;428;417;71;5,96;0,466667;49,3167;2837;491927;42;127
LES PRES;26;26310;26255;22;27;1;16,6;5,57917;44,5275;53445;443139;701;1525
LES PUJOLS;9;9100;9238;700;521;53;13,18;1,71667;43,0833;14307;430518;255;384
LES QUATRE-ROUTES-DU-LOT;46;46110;46232;672;584;240;2,8;1,64528;44,9973;13843;445950;118;209
LES RAIRIES;49;49430;49257;970;866;115;8,41;-0,2;47,65;-1221;473903;22;43
LES REPOTS;39;39140;39457;36;23;8;4,02;5,41667;46,6833;52455;464057;199;220
LES RESSUINTES;28;28340;28314;144;127;19;7,46;0,933333;48,6;5616;483543;224;281
LES RICEYS;10;10340;10317;1349;1375;31;42,93;4,36667;47,9833;42201;475929;166;338
LES RIVES;34;34520;34230;121;127;5;23,79;3,26667;43,8333;31608;435032;640;853
LES RIVIERES-HENRUEL;51;51300;51463;176;185;14;11,97;4,56667;48,65;43351;483914;107;204
LES ROCHES-DE-CONDRIEU;38;38370;38340;1957;1816;1900;1,03;4,76667;45,45;44604;452711;155;200
LES ROCHES-L'EVEQUE;41;41800;41192;292;283;121;2,4;0,883333;47,7833;5329;474636;66;134
LES ROISES;55;55130;55436;33;40;8;3,92;5,63333;48,45;53828;482720;286;398
LES ROSIERS-SUR-LOIRE;49;49350;49261;2357;2247;90;26,11;-0,225278;47,3514;-1331;472105;18;26
LES ROTOURS;61;61210;61354;100;92;19;5,06;-0,25;48,7833;-1537;484701;121;231
LES ROUGES-EAUX;88;88600;88398;81;72;13;5,9;6,81667;48,2667;64806;481546;377;620
LES ROUSSES;39;39220;39470;3108;2929;81;38;6,06667;46,4833;60342;462909;720;1300
LES RUES-DES-VIGNES;59;59258;59517;697;661;39;17,85;3,23333;50,0833;31422;500541;62;146
LES SABLES-D'OLONNE;85;85180;85194;14603;15531;1653;8,83;-1,78333;46,5;-14705;462947;0;26
LES SALCES;48;48100;48187;95;82;2;45,78;3,15;44,5333;30943;443202;789;1452
LES SALELLES;48;48230;48185;150;118;14;10,62;3,28333;44,4833;31646;442853;580;940
LES SALELLES;7;7140;7305;319;210;56;5,61;4,08333;44,4167;40610;442603;152;543
LES SALLES;42;42440;42295;479;425;18;25,22;3,79361;45,8478;34737;455052;636;963
LES SALLES-DE-CASTILLON;33;33350;33499;390;370;36;10,81;-0,00111111;44,9;-4;445444;18;100
LES SALLES-DU-GARDON;30;30110;30307;2547;2566;120;21,09;4,03333;44,2;40205;441225;145;723
LES SALLES-LAVAUGUYON;87;87440;87189;173;198;14;12,32;0,7;45,75;4142;454438;194;301
LES SALLES-SUR-VERDON;83;83630;83122;228;186;45;4,97;6,2;43,7667;61235;434627;476;665
LES SAUVAGES;69;69170;69174;631;575;50;12,55;4,37639;45,925;42235;455530;494;854
LES SIEGES;89;89190;89395;440;447;18;23,59;3,51667;48,1833;33107;481048;109;257
LES SORINIERES;44;44840;44198;7444;6229;571;13,02;-1,53333;47,15;-13148;470847;3;44
LES SOUHESMES-RAMPONT;55;55220;55497;328;310;15;21,8;5,25223;49,0837;51508;490501;225;327
LES TERNES;15;15100;15235;575;455;30;19,13;3,01361;44,9984;30049;445954;896;1061
LES TERRES-DE-CHAUX;25;25190;25138;132;116;9;14,49;6,73778;47,3187;64416;471907;420;860
LES THILLIERS-EN-VEXIN;27;27420;27633;467;497;297;1,57;1,60889;49,2364;13632;491411;115;132
LES THONS;88;88410;88471;122;142;12;10,09;5,88333;47,9833;55309;475922;234;402
LES THUILES;4;4400;4220;368;344;11;32,8;6,56667;44,4;63416;442335;1053;2898
LES TONILS;26;26460;26351;15;20;1;13;5,2;44,5833;51157;443455;497;1513
LES TOUCHES;44;44390;44205;2268;1948;64;35,15;-1,425;47,4417;-12550;472631;3;52
LES TOUCHES-DE-PERIGNY;17;17160;17451;545;494;25;21,56;-0,266667;45,9167;-1607;455428;46;107
LES TOURAILLES;61;61100;61489;71;67;28;2,46;-0,4;48,75;-2404;484521;159;254
LES TOURREILLES;31;31210;31556;376;358;30;12,33;0,551944;43,1128;3307;430646;413;553
LES TOURRETTES;26;26740;26353;964;761;131;7,34;4,78945;44,6614;44722;443941;73;380
LES TROIS-DOMAINES;55;55220;55254;128;119;7;16,49;5,28667;48,9667;51712;485800;237;343
LES TROIS-MOUTIERS;86;86120;86274;1067;928;29;35,94;0,016667;47,0667;114;470346;32;123
LES TROIS-PIERRES;76;76430;76714;726;723;97;7,48;0,416667;49,55;2457;493249;63;132
LES ULIS;91;91940;91692;24792;25781;4786;5,18;2,1675;48,6823;21003;484056;87;170
LES ULMES;49;49700;49359;571;478;70;8,1;-0,183333;47,2167;-1042;471310;39;97
